"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"celestial-sweep-20","32","0.00003780604820012707","1","6","AdamW","constant_schedule","0.1","0.0582409547008627","0.8515555555555555"
"lucky-sweep-19","32","0.00007519096121181204","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.06374847559674149","0.847787610619469"
"ethereal-sweep-18","32","0.00004166957034116529","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.0705328624787178","0.846830985915493"
"true-sweep-17","32","0.000029417879753662565","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.05099029383196003","0.8451443569553806"
"worthy-sweep-16","16","0.000028170360976052045","1","6","AdamW","linear_schedule_with_warmup","0.1","0.06112166735975191","0.8654353562005277"
"stellar-sweep-15","32","0.00003086963973067895","2","6","AdamW","linear_schedule_with_warmup","0.1","0.0578886962333757","0.8437775816416594"
"dry-sweep-14","16","0.000025353166255411923","2","6","AdamW","linear_schedule_with_warmup","0.1","0.05699659689561261","0.8464951197870453"
"comic-sweep-13","32","0.00002223609553469817","2","6","AdamW","constant_schedule","0.1","0.07286940336519786","0.8135313531353136"
"cerulean-sweep-12","8","0.00003570859897192371","1","6","AdamW","constant_schedule","0.1","0.06338795033417635","0.8483197093551318"
"comic-sweep-11","8","0.000038710448404631616","2","5","Adam","constant_schedule","0.1","0.06487406620278485","0.3134160090191657"
"cool-sweep-10","8","0.00004295670144373998","1","6","AdamW","constant_schedule","0.1","0.05977827282628596","0.8356290174471993"
"classic-sweep-9","32","0.00001651454449832289","2","6","AdamW","constant_schedule","0.1","0.0742313190877322","0.8269394714407502"
"dutiful-sweep-8","16","0.00006791462786916729","1","6","Adam","polynomial_decay_schedule_with_warmup","0.05","0.060971602863544624","0.553873552983081"
"lunar-sweep-7","8","0.000034968088003210555","1","5","AdamW","cosine_schedule_with_warmup","0.1","0.058790186404562184","0.8616740088105727"
"classic-sweep-6","32","0.00003243547169728316","1","4","Adam","linear_schedule_with_warmup","0.1","0.05522260387816698","0.683794466403162"
"restful-sweep-5","32","0.000032479590918816766","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07262604631222697","0.8317008014247551"
"young-sweep-4","16","0.000011198577334942049","1","5","Adam","cosine_schedule_with_warmup","0.05","0.088533221645433","0.36057692307692313"
"proud-sweep-3","32","0.00003150969475270122","2","5","Adam","constant_schedule","0.1","0.09009767892407522","0.6698382492863939"
"vibrant-sweep-2","32","0.00001978177339253448","1","5","AdamW","linear_schedule_with_warmup","0.05","0.0825987764952866","0.8212728857890148"
"silvery-sweep-1","32","0.00009287191512201224","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.0761312653428492","0.8670212765957447"
