"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"legendary-sweep-20","16","0.00008387802204832001","2","6","AdamW","linear_schedule_with_warmup","0.1","0.0884221236539319","0.841225626740947"
"copper-sweep-19","32","0.00004194871991630293","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.09916078663370216","0.7547169811320756"
"cool-sweep-18","32","0.00008068916803432533","2","6","AdamW","linear_schedule_with_warmup","0.1","0.09825774894647488","0.7849462365591398"
"rural-sweep-17","32","0.00005829524057279197","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.08718957627202555","0.7933884297520661"
"exalted-sweep-16","16","0.00003074490528771233","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.08711009398026781","0.7900552486187845"
"distinctive-sweep-15","16","0.00003583426397615513","2","6","AdamW","linear_schedule_with_warmup","0.1","0.09297608547743096","0.7903225806451613"
"misty-sweep-14","32","0.00003209570589379938","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.08228293396718972","0.7493261455525605"
"fearless-sweep-13","32","0.00005826212092183591","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.09231512189856143","0.7900552486187845"
"wild-sweep-12","16","0.00003768531775766213","2","6","AdamW","constant_schedule","0.1","0.0812117618390192","0.8044077134986227"
"hearty-sweep-11","8","0.00002239553444358286","2","6","AdamW","constant_schedule","0.1","0.0885381887297763","0.7842105263157895"
"eternal-sweep-10","32","0.000037240659225627167","2","6","AdamW","constant_schedule","0.1","0.08990888849937902","0.7944444444444444"
"lunar-sweep-9","8","0.00004416227972049571","1","6","Adam","linear_schedule_with_warmup","0.1","0.05197228257467826","0.3054545454545455"
"magic-sweep-8","16","0.00009155731396083588","1","5","AdamW","linear_schedule_with_warmup","0.05","0.09572937105074436","0.7934782608695652"
"chocolate-sweep-7","8","0.00002963466355127244","1","4","Adam","constant_schedule","0.1","0.09764787466567312","0.13114754098360656"
"sandy-sweep-6","16","0.00003879212522934704","2","5","Adam","constant_schedule","0.1","0.06733012013791036","0.5017421602787456"
"swept-sweep-5","16","0.00009611365089082678","2","6","Adam","constant_schedule","0.05","0.08095742720581983","0.018433179723502304"
"winter-sweep-4","16","0.000021043974949280144","1","5","Adam","polynomial_decay_schedule_with_warmup","0.1","0.08145924553689571","0.24778761061946905"
"magic-sweep-3","32","0.00008471966671463486","2","6","Adam","cosine_schedule_with_warmup","0.05","0.08342438637155791","0.4908424908424909"
"dandy-sweep-2","8","0.00004819253339730198","1","6","Adam","polynomial_decay_schedule_with_warmup","0.05","0.06127018875802143","0.23308270676691728"
"splendid-sweep-1","8","0.00004151608693237687","2","4","Adam","constant_schedule","0.1","0.08756389884804164","0.36180904522613067"
