"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"earthy-sweep-20","32","0.000059568462780420806","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05086573139746978","0.8883495145631068"
"fast-sweep-19","16","0.000039253019404084586","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06391190516820902","0.8513674197384067"
"devoted-sweep-18","32","0.00005577931315666781","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06797989895505246","0.8794326241134751"
"worthy-sweep-17","32","0.000055639234472190755","2","5","AdamW","constant_schedule","0.1","0.07468696993748143","0.877450980392157"
"true-sweep-16","32","0.00006481740572504414","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.07458482816597549","0.8717948717948718"
"splendid-sweep-15","32","0.00004503097847530067","1","5","AdamW","constant_schedule","0.1","0.06076456013282437","0.8533969010727057"
"playful-sweep-14","32","0.000018455260746566556","2","6","AdamW","constant_schedule","0.1","0.059005141910305335","0.8367593712212817"
"giddy-sweep-13","32","0.00001786611773290619","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.055860433096639635","0.8197879858657243"
"sage-sweep-12","32","0.0000291076440356928","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06260859257347329","0.8388625592417063"
"toasty-sweep-11","32","0.000036574350300407394","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05640987520137109","0.8664259927797834"
"classic-sweep-10","32","0.00005476642887941644","2","6","AdamW","constant_schedule","0.05","0.053181275678098466","0.8502994011976047"
"wandering-sweep-9","32","0.0000312515585638522","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06071197007438396","0.8608490566037736"
"trim-sweep-8","32","0.00002614775269397064","2","4","AdamW","constant_schedule","0.1","0.06933842674784485","0.8469750889679716"
"floral-sweep-7","32","0.000031319257174310225","1","6","AdamW","cosine_schedule_with_warmup","0.05","0.056135107619920674","0.8619047619047618"
"stellar-sweep-6","32","0.00009469838286488307","2","4","Adam","constant_schedule","0.05","0.09278237608143786","0.17126269956458637"
"quiet-sweep-5","16","0.000058346561489976266","1","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.054092214771251736","0.08431703204047217"
"confused-sweep-4","32","0.0000938309171677606","1","5","AdamW","cosine_schedule_with_warmup","0.05","0.07095458752843681","0.8848484848484849"
"comic-sweep-3","16","0.00003204773743771477","2","4","Adam","cosine_schedule_with_warmup","0.1","0.07953250742022949","0.2866043613707165"
"lemon-sweep-2","16","0.000041845848889972906","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07057745051314163","0.882494004796163"
"vibrant-sweep-1","16","0.00003985929593561547","1","4","AdamW","constant_schedule","0.1","0.058957726534662386","0.8547215496368038"
