"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"swept-sweep-20","16","0.00009574646597244444","1","5","AdamW","constant_schedule","0.1","0.0698083845170025","0.809278350515464"
"vital-sweep-19","32","0.00009166244400895","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.062118317894185315","0.8373764600179694"
"jolly-sweep-18","32","0.00006192504034989985","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.06282198208192544","0.838095238095238"
"glowing-sweep-17","32","0.00009200252200335828","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.05161366205761124","0.8581560283687943"
"exalted-sweep-16","8","0.00009956166962687252","1","5","AdamW","cosine_schedule_with_warmup","0.1","0.05320926871874047","0.8300884955752214"
"devout-sweep-15","16","0.00009999092396539074","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.0661492413029939","0.8589174800354925"
"dandy-sweep-14","16","0.00008878989557221265","1","5","AdamW","constant_schedule","0.1","0.051257075166864334","0.8007149240393209"
"golden-sweep-13","16","0.0000821055481201207","2","6","AdamW","linear_schedule_with_warmup","0.1","0.06330520828098185","0.824264049955397"
"glowing-sweep-12","16","0.00009494831467355524","1","6","AdamW","linear_schedule_with_warmup","0.05","0.05894753670842435","0.8399280575539567"
"smooth-sweep-11","16","0.0000954080790044406","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.05442392910265957","0.8558875219683656"
"whole-sweep-10","32","0.00008311091574802805","2","6","AdamW","linear_schedule_with_warmup","0.1","0.052169410833490894","0.8615107913669064"
"super-sweep-9","16","0.00009773638210005898","2","5","AdamW","cosine_schedule_with_warmup","0.1","0.06098602281552313","0.8367166813768754"
"devout-sweep-8","16","0.00008710362475274907","2","6","AdamW","constant_schedule","0.1","0.070469000995555","0.8133453561767359"
"iconic-sweep-7","16","0.00006987516737274008","1","6","AdamW","cosine_schedule_with_warmup","0.05","0.05501244017709737","0.8490732568402471"
"vague-sweep-6","8","0.00009075577191014836","1","4","AdamW","cosine_schedule_with_warmup","0.1","0.07278364368966428","0.8274647887323943"
"azure-sweep-5","16","0.00001357801909067528","2","5","Adam","linear_schedule_with_warmup","0.1","0.0983340220186424","0.6784715750232991"
"swept-sweep-4","8","0.00007008305053591385","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.09508058463283713","0.3603793466807166"
"olive-sweep-3","16","0.00008997638537598151","2","6","AdamW","constant_schedule","0.1","0.061960752878766026","0.8207885304659499"
"peachy-sweep-2","16","0.00007717246714853098","1","4","Adam","polynomial_decay_schedule_with_warmup","0.05","0.052527244280572","0.5541516245487365"
"drawn-sweep-1","16","0.00008918405348898919","1","5","AdamW","constant_schedule","0.05","0.05027111505157727","0.8103294746215494"
