"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"royal-sweep-20","32","0.0000700655927504089","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.056649957739599514","0.8319559228650137"
"clean-sweep-19","32","0.00007354389940543053","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.07229754047092887","0.8379888268156425"
"stellar-sweep-18","32","0.00009066048941934384","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.054794885870567425","0.85"
"sunny-sweep-17","32","0.00007565032965042003","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06833035596480899","0.8186813186813188"
"magic-sweep-16","32","0.00007161608474304883","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.054226005290478066","0.8133704735376045"
"confused-sweep-15","32","0.00009602791172829375","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06434637007667746","0.8450704225352113"
"divine-sweep-14","32","0.000098066558582626","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06822883903730492","0.8123249299719889"
"gentle-sweep-13","32","0.00006787103869736762","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06845681610645492","0.8444444444444444"
"smart-sweep-12","16","0.00007953427871011776","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05633114998262673","0.8531855955678671"
"still-sweep-11","32","0.00006889426033578431","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07374445211446731","0.8258426966292134"
"fresh-sweep-10","32","0.00007340337033456541","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.0626795000330864","0.8507042253521127"
"zany-sweep-9","32","0.00006489353618402505","2","5","AdamW","constant_schedule","0.05","0.06761776138758405","0.8166666666666667"
"lilac-sweep-8","32","0.00005474089983003646","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.06764223803238897","0.8306010928961748"
"upbeat-sweep-7","16","0.0000820006491116438","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.06944259043949362","0.8219178082191781"
"fresh-sweep-6","32","0.00006131027713944077","1","4","AdamW","constant_schedule","0.05","0.06683718606844319","0.7948717948717948"
"scarlet-sweep-5","16","0.00007913503279488044","2","5","AdamW","constant_schedule","0.05","0.06251614561243254","0.8065395095367848"
"northern-sweep-4","8","0.00009732872620765652","1","4","AdamW","constant_schedule","0.05","0.053223609925415784","0.787878787878788"
"rosy-sweep-3","32","0.0000951948758399224","1","5","Adam","linear_schedule_with_warmup","0.1","0.08163441739085439","0.597938144329897"
"fast-sweep-2","32","0.00008821726031318477","2","4","Adam","constant_schedule","0.05","0.07818795039346252","0.4963503649635037"
"astral-sweep-1","8","0.00007411927796599946","2","5","Adam","constant_schedule","0.05","0.07167561612331327","0.22147651006711408"
