"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"lilac-sweep-20","32","0.00009831989737454696","1","6","AdamW","constant_schedule","0.1","0.09849264407438645","0.6012269938650306"
"atomic-sweep-19","32","0.00007396045886255283","2","6","AdamW","constant_schedule","0.1","0.07706226476427083","0.7243243243243243"
"devout-sweep-18","32","0.00009694992969652437","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06809793189290796","0.7280701754385964"
"solar-sweep-17","32","0.00005703488904131972","1","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08831032162497102","0.7314814814814816"
"wandering-sweep-16","32","0.00005592252479219788","2","6","AdamW","constant_schedule","0.1","0.07078497985892733","0.7439613526570047"
"dandy-sweep-15","32","0.00002248014673460799","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08278988207678094","0.6237623762376239"
"robust-sweep-14","32","0.00007824174156669643","2","6","AdamW","constant_schedule","0.1","0.09027487502077448","0.7253886010362693"
"floral-sweep-13","32","0.00006382602481431213","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.0925574922745904","0.7317073170731707"
"volcanic-sweep-12","32","0.00008851892666431974","2","6","AdamW","constant_schedule","0.1","0.06681634614757409","0.7650273224043715"
"usual-sweep-11","32","0.00008700299244753224","1","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08306088399940978","0.7559808612440191"
"happy-sweep-10","32","0.00005419703746147421","2","6","AdamW","constant_schedule","0.1","0.09074804538067774","0.748768472906404"
"fallen-sweep-9","16","0.00007413708655917343","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.0795762728502034","0.7420814479638008"
"pious-sweep-8","32","0.0000900284047470412","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.06388346959085281","0.5988700564971752"
"fragrant-sweep-7","32","0.0000965283269743828","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.07270061319102071","0.7960199004975124"
"firm-sweep-6","32","0.00005496248338114998","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.0789483283903647","0.7499999999999999"
"silvery-sweep-5","16","0.000018291459611859552","1","5","Adam","polynomial_decay_schedule_with_warmup","0.05","0.06917783701908782","0"
"fallen-sweep-4","32","0.00005098125684940076","1","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07939556361030073","0.7272727272727272"
"quiet-sweep-3","32","0.00007234015787986614","2","4","AdamW","cosine_schedule_with_warmup","0.1","0.058721583224967094","0.6699507389162561"
"clear-sweep-2","16","0.000010946885565525051","2","5","Adam","polynomial_decay_schedule_with_warmup","0.05","0.08813352323280842","0"
"dry-sweep-1","8","0.00008185068703748869","2","6","Adam","linear_schedule_with_warmup","0.1","0.08525656609692057","0.2573099415204678"
