"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"absurd-sweep-20","8","0.00003877286247197123","2","4","AdamW","constant_schedule","0.1","0.05914252484801122","0.824413145539906"
"classic-sweep-19","16","0.00005274247851608717","1","5","AdamW","constant_schedule","0.1","0.07694392239737927","0.8076602830974189"
"fallen-sweep-18","8","0.00004571928836908988","1","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.060895977094174526","0.8619768477292966"
"glowing-sweep-17","8","0.00005657376148820223","2","4","AdamW","cosine_schedule_with_warmup","0.1","0.050970600662118816","0.8597122302158273"
"absurd-sweep-16","8","0.000040685923238524226","1","5","AdamW","cosine_schedule_with_warmup","0.1","0.06529260262981279","0.8558797524314765"
"dashing-sweep-15","32","0.00008605461960161666","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06733442258131694","0.8589174800354925"
"dulcet-sweep-14","32","0.00006967186460126691","2","6","AdamW","constant_schedule","0.1","0.05778021507733442","0.7900414937759337"
"sage-sweep-13","32","0.00008735214465146153","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05558056060825262","0.8691756272401434"
"glorious-sweep-12","16","0.00006748836792063347","2","5","AdamW","constant_schedule","0.1","0.06513834419863823","0.8172992056487202"
"blooming-sweep-11","16","0.00008155807473353716","1","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06893949766883177","0.8573991031390134"
"unique-sweep-10","32","0.0000690348340315796","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.077501754221572","0.8543342269883825"
"spring-sweep-9","16","0.0000746784848324562","1","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06932962408366151","0.8495575221238938"
"clear-sweep-8","16","0.000037704530170629","1","4","Adam","linear_schedule_with_warmup","0.05","0.09825657721421616","0.32538860103626943"
"dutiful-sweep-7","8","0.0000794811272075436","2","5","Adam","linear_schedule_with_warmup","0.1","0.0846406394894248","0.4041548630783759"
"gallant-sweep-6","16","0.00007449473456524558","1","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.05987965850666535","0.4829931972789116"
"iconic-sweep-5","16","0.00006543916327068012","1","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.060022757560050155","0.8606921029281277"
"colorful-sweep-4","8","0.00009286202530930404","2","4","Adam","constant_schedule","0.1","0.05524621393807179","0.4387568555758684"
"misunderstood-sweep-3","8","0.000039926990866347045","2","4","AdamW","cosine_schedule_with_warmup","0.05","0.05529053587743553","0.852575488454707"
"azure-sweep-2","8","0.00006113039707597783","1","4","AdamW","linear_schedule_with_warmup","0.1","0.08774806730531487","0.8427672955974843"
"golden-sweep-1","32","0.0000812910400033529","1","5","AdamW","constant_schedule","0.1","0.06589793347767273","0.8260869565217391"
