"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","f1_score"
"fallen-sweep-20","32","0.00007273601340240579","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.0854513799566286","0.8238482384823848"
"serene-sweep-19","32","0.00004552603455732748","2","4","AdamW","constant_schedule","0.1","0.08681477320770874","0.819672131147541"
"deep-sweep-18","32","0.000017809843147288578","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08379569760530137","0.7142857142857143"
"rosy-sweep-17","32","0.000056228828935596906","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.07364278635109234","0.8283378746594005"
"iconic-sweep-16","32","0.00006607941438090329","2","5","AdamW","constant_schedule","0.1","0.08283883442744724","0.7668711656441718"
"clear-sweep-15","32","0.00005761824145668366","2","5","AdamW","cosine_schedule_with_warmup","0.1","0.0897714539894315","0.8156424581005586"
"prime-sweep-14","32","0.00006766741073101558","2","6","AdamW","constant_schedule","0.1","0.08205103247666701","0.8435754189944135"
"dauntless-sweep-13","32","0.00006172142190163533","2","4","AdamW","constant_schedule","0.1","0.08717865710750425","0.8089887640449439"
"fast-sweep-12","32","0.00003707372122659208","2","4","AdamW","constant_schedule","0.1","0.08425738964857807","0.8099173553719008"
"desert-sweep-11","16","0.000016219520874203363","2","4","AdamW","constant_schedule","0.1","0.06545240015721761","0.8238636363636365"
"dry-sweep-10","8","0.000019543438423584525","2","4","AdamW","cosine_schedule_with_warmup","0.1","0.06706770852568582","0.8388888888888889"
"iconic-sweep-9","32","0.000045620567083528295","2","6","Adam","cosine_schedule_with_warmup","0.1","0.09815077989686692","0"
"electric-sweep-8","16","0.00002697198968123945","2","5","Adam","polynomial_decay_schedule_with_warmup","0.1","0.058877517562528986","0.12552301255230125"
"stilted-sweep-7","16","0.000025373524527925288","2","4","AdamW","cosine_schedule_with_warmup","0.1","0.06303253598553715","0.8225352112676056"
"summer-sweep-6","32","0.00008243472518775977","2","4","Adam","constant_schedule","0.05","0.06750608334264961","0.5239852398523985"
"wobbly-sweep-5","32","0.00003799639789912366","2","5","Adam","cosine_schedule_with_warmup","0.1","0.09696263892950704","0"
"efficient-sweep-4","16","0.00003638330122666729","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.09022876079789569","0.2175732217573222"
"vague-sweep-3","32","0.00008951106825463077","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05245805155852498","0.7845303867403315"
"apricot-sweep-2","32","0.00004477818617206572","2","5","AdamW","cosine_schedule_with_warmup","0.1","0.09947809380801084","0.8467966573816157"
"colorful-sweep-1","8","0.000021195749158650387","2","4","AdamW","constant_schedule","0.1","0.06064592766001045","0.8181818181818183"
