"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"neat-sweep-20","32","0.00004619406194607119","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05517148252017583","0.6530612244897959"
"tough-sweep-19","32","0.0000644732410948025","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.06292203205593459","0.6597938144329897"
"desert-sweep-18","32","0.000033339726772384814","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05391739412064814","0.6734693877551021"
"hardy-sweep-17","32","0.00006412297315637185","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.050238358192908665","0.6666666666666666"
"magic-sweep-16","32","0.00006910099830864022","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.05027451081706087","0.6597938144329897"
"fearless-sweep-15","32","0.00006377891616935766","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.053569863571282794","0.6666666666666666"
"devout-sweep-14","32","0.00008988172428214739","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.057225895699094864","0.6530612244897959"
"sunny-sweep-13","32","0.00007962792652372263","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06450033701391246","0.6530612244897959"
"polished-sweep-12","32","0.00007084888634346","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.0739177013513102","0.6407766990291263"
"young-sweep-11","32","0.0000698558927523034","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.0717478957935408","0.6470588235294117"
"clean-sweep-10","32","0.00007620822382938181","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06907837120083225","0.6530612244897959"
"solar-sweep-9","32","0.00008981204695528684","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.06427097740387136","0.6226415094339622"
"happy-sweep-8","32","0.00006097198501613291","2","5","Adam","polynomial_decay_schedule_with_warmup","0.1","0.0887736838506096","0.6168224299065421"
"clean-sweep-7","16","0.00009175372667346164","2","4","Adam","constant_schedule","0.1","0.07553128856108528","0.40816326530612246"
"iconic-sweep-6","32","0.00009112866795890975","2","5","Adam","polynomial_decay_schedule_with_warmup","0.1","0.0797784639930691","0.6346153846153846"
"restful-sweep-5","32","0.00007981089230519808","2","6","Adam","constant_schedule","0.1","0.05624613411643545","0.5499999999999999"
"earthy-sweep-4","16","0.00007596765060298258","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.06518601217442924","0.6296296296296295"
"tough-sweep-3","32","0.00007107599530972748","2","4","Adam","polynomial_decay_schedule_with_warmup","0.05","0.08600091483957717","0.6181818181818182"
"decent-sweep-2","16","0.00006647944135526975","2","5","Adam","polynomial_decay_schedule_with_warmup","0.1","0.06958441978288996","0.6285714285714287"
"blooming-sweep-1","16","0.000017010107461266568","1","5","Adam","polynomial_decay_schedule_with_warmup","0.05","0.09242647722701448","0.4230769230769231"
