"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"vivid-sweep-20","32","0.00004529412476605665","2","5","AdamW","constant_schedule","0.1","0.07168082663994893","0.7543859649122807"
"fanciful-sweep-19","32","0.00005053283381012714","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.08233007183588034","0.7521367521367522"
"fiery-sweep-18","32","0.00005613859584940086","2","6","AdamW","constant_schedule","0.1","0.08583459195811532","0.7482517482517482"
"fresh-sweep-17","32","0.00009390442934029476","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.08645232670520994","0.7461139896373058"
"solar-sweep-16","32","0.0000948063622722334","2","6","AdamW","constant_schedule","0.1","0.07823512931796309","0.7445008460236887"
"leafy-sweep-15","32","0.00009868936428372816","2","6","AdamW","constant_schedule","0.1","0.09352140763628196","0.733446519524618"
"youthful-sweep-14","8","0.00003883263668351625","1","5","Adam","cosine_schedule_with_warmup","0.1","0.0834228655478853","0.2"
"soft-sweep-13","32","0.00009654153091398352","2","5","AdamW","linear_schedule_with_warmup","0.1","0.08102557938297947","0.7512864493996568"
"classic-sweep-12","32","0.000014315235063227097","1","4","Adam","constant_schedule","0.1","0.07799573730878553","0.7001795332136446"
"toasty-sweep-11","32","0.00009923033045091016","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.0752990867323336","0.4960629921259843"
"revived-sweep-10","8","0.00002199651680598917","2","4","Adam","linear_schedule_with_warmup","0.05","0.09087414311539505","0.3558558558558559"
"misunderstood-sweep-9","32","0.00007287606380571323","1","4","Adam","cosine_schedule_with_warmup","0.1","0.09357109492489044","0.5083056478405316"
"stellar-sweep-8","16","0.000019591480045528152","2","5","AdamW","constant_schedule","0.1","0.07702746664732538","0.7461669505962522"
"peach-sweep-7","32","0.00006458759790727784","1","5","Adam","cosine_schedule_with_warmup","0.05","0.08982190483458183","0.4705882352941176"
"warm-sweep-6","8","0.000049324106217687394","2","5","AdamW","constant_schedule","0.1","0.0533780812088372","0.7487179487179487"
"true-sweep-5","8","0.00006624174176723244","2","6","Adam","linear_schedule_with_warmup","0.1","0.08623176668175404","0.21220159151193632"
"ancient-sweep-4","32","0.000049104200293826287","1","6","Adam","linear_schedule_with_warmup","0.1","0.06525635506877506","0.4979811574697173"
"polished-sweep-3","16","0.00009433051311394936","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.055106469806242","0.7495682210708117"
"desert-sweep-2","32","0.00008531303732730417","1","6","AdamW","cosine_schedule_with_warmup","0.1","0.09802194464789636","0.7564766839378239"
"royal-sweep-1","8","0.00007849721864820182","2","6","AdamW","linear_schedule_with_warmup","0.1","0.09575348287126674","0.7491408934707905"
