"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"glad-sweep-20","32","0.00005693998505950194","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.07816828288969777","0.7658592848904268"
"playful-sweep-19","32","0.00007406571384745046","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.08795059882452216","0.7710011507479863"
"comic-sweep-18","32","0.00003078000411476638","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.07886766832167792","0.7622298065984072"
"lively-sweep-17","32","0.00006126014626163623","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06848994600018352","0.7692307692307693"
"desert-sweep-16","32","0.00001192602125458765","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07515047608895728","0.7604994324631101"
"super-sweep-15","32","0.00006421224390368513","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.08632469836446377","0.7669345579793342"
"volcanic-sweep-14","32","0.00001056999134523854","2","6","AdamW","constant_schedule","0.1","0.09738897085550544","0.7562076749435666"
"genial-sweep-13","32","0.00006913547105694482","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06331091163192823","0.7670915411355735"
"floral-sweep-12","32","0.000012301275141085572","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07119659250467843","0.7681818181818181"
"olive-sweep-11","32","0.000036783827218154846","2","6","AdamW","constant_schedule","0.1","0.08913439293075148","0.7667436489607391"
"glamorous-sweep-10","32","0.0000588664685872543","2","6","AdamW","constant_schedule","0.1","0.08777427696040027","0.756152125279642"
"winter-sweep-9","32","0.0000950535406456885","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.06474428431142919","0.775462962962963"
"glamorous-sweep-8","32","0.00006840973633007873","2","6","AdamW","constant_schedule","0.1","0.08397512359556156","0.7635524798154555"
"celestial-sweep-7","32","0.00006122435848065093","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.09355505831838822","0.7655172413793104"
"stilted-sweep-6","32","0.0000663261502573142","2","6","AdamW","constant_schedule","0.1","0.08525967429802411","0.7557077625570776"
"happy-sweep-5","32","0.00003314933754813122","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.07709811722155512","0.7716894977168949"
"tough-sweep-4","32","0.00007165684334348094","1","6","Adam","linear_schedule_with_warmup","0.1","0.050213529015702904","0.2843894899536321"
"electric-sweep-3","32","0.00005150394262565175","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.07128575030759102","0.7635524798154555"
"leafy-sweep-2","8","0.000022672021192241656","2","6","Adam","cosine_schedule_with_warmup","0.1","0.05675606353483842","0.2727272727272727"
"likely-sweep-1","16","0.00001607292221572243","1","5","Adam","polynomial_decay_schedule_with_warmup","0.1","0.06671410144644074","0.49913344887348354"
