"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"sunny-sweep-20","16","0.000011635518036148888","2","5","AdamW","constant_schedule","0.05","0.09516880056041778","0.6812386156648452"
"stellar-sweep-19","16","0.000011242110048510887","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.09196550449207172","0.6702508960573478"
"sleek-sweep-18","16","0.000022279905826129154","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.09124520570641996","0.6911764705882353"
"glamorous-sweep-17","16","0.000012184991439431462","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.08523050968234222","0.68"
"fine-sweep-16","8","0.000010216360297535832","2","5","AdamW","constant_schedule","0.05","0.08752125950019675","0.6802973977695166"
"sunny-sweep-15","8","0.00001670504979299255","2","6","AdamW","constant_schedule","0.05","0.08432698460415551","0.6951672862453531"
"fast-sweep-14","16","0.00002112555779937691","1","5","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09514690239010629","0.684981684981685"
"effortless-sweep-13","16","0.000015226247057014762","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.08958103825408484","0.6824817518248175"
"dainty-sweep-12","8","0.00001873104473764092","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.0925787184677712","0.6938775510204083"
"blooming-sweep-11","16","0.00001387486254554453","2","5","AdamW","cosine_schedule_with_warmup","0.05","0.08799734900671832","0.68"
"fiery-sweep-10","8","0.00001155001785360122","1","5","AdamW","constant_schedule","0.05","0.078192816664158","0.6951672862453531"
"fearless-sweep-9","16","0.00001550881116808366","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.09351650197991916","0.6838235294117647"
"feasible-sweep-8","16","0.00003114078692703255","2","6","AdamW","constant_schedule","0.05","0.09495508022254467","0.6844106463878327"
"northern-sweep-7","16","0.00002556018690803664","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.09371653242108488","0.6726943942133816"
"feasible-sweep-6","16","0.00002647602722691689","1","5","Adam","constant_schedule","0.05","0.06673788042007395","0.12034383954154727"
"smart-sweep-5","16","0.000017119463079367797","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.09692862376359644","0.6863468634686347"
"revived-sweep-4","8","0.00003922092977079382","1","6","Adam","linear_schedule_with_warmup","0.05","0.07168553221928262","0.11627906976744184"
"ancient-sweep-3","16","0.00006091210253508403","1","5","AdamW","constant_schedule","0.1","0.07422444854021709","0.15724815724815727"
"ethereal-sweep-2","16","0.00002564638757106786","1","6","AdamW","linear_schedule_with_warmup","0.05","0.08802861688827224","0.6763110307414105"
"rich-sweep-1","8","0.000017264185909561362","1","4","AdamW","constant_schedule","0.05","0.07006322707594655","0.6840148698884758"
