"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"confused-sweep-20","16","0.00007585413300768152","2","6","Adam","constant_schedule","0.05","0.0525972597828431","0.45086705202312144"
"vivid-sweep-19","16","0.0000849823403995209","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.05070336920957524","0.6822429906542056"
"legendary-sweep-18","16","0.00006446429520577034","2","6","AdamW","constant_schedule","0.05","0.05209777528883242","0.660287081339713"
"atomic-sweep-17","32","0.00008681825413058938","2","5","AdamW","linear_schedule_with_warmup","0.05","0.050622089977138705","0.6666666666666666"
"dazzling-sweep-16","16","0.000059334368780263574","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.05178878946523277","0.7156862745098038"
"revived-sweep-15","8","0.000016865637259772534","1","5","Adam","cosine_schedule_with_warmup","0.05","0.05887514427371035","0.6310160427807486"
"swift-sweep-14","16","0.00003376226523204613","2","5","Adam","cosine_schedule_with_warmup","0.05","0.05445300683802187","0.6341463414634145"
"absurd-sweep-13","8","0.000022593616021369513","2","5","Adam","linear_schedule_with_warmup","0.05","0.05325167839779387","0.6291079812206573"
"rosy-sweep-12","8","0.000012370214589906474","2","4","Adam","cosine_schedule_with_warmup","0.05","0.05058312909694564","0.6407766990291263"
"leafy-sweep-11","16","0.000028162815223652797","1","6","Adam","cosine_schedule_with_warmup","0.05","0.05146887278325165","0.5971563981042655"
"upbeat-sweep-10","8","0.000014513697707549546","2","5","Adam","linear_schedule_with_warmup","0.05","0.050092744587262296","0.6291079812206573"
"silver-sweep-9","8","0.00003091676747739206","2","5","Adam","cosine_schedule_with_warmup","0.05","0.05541463707650325","0.6372549019607843"
"curious-sweep-8","8","0.000024775250519146212","1","5","Adam","polynomial_decay_schedule_with_warmup","0.05","0.05031501446558752","0.6018518518518517"
"bright-sweep-7","8","0.000012745539327194542","2","6","Adam","constant_schedule","0.1","0.06494335296562948","0.46258503401360546"
"apricot-sweep-6","32","0.00001824091192852956","1","5","Adam","linear_schedule_with_warmup","0.1","0.09411491912264036","0.331877729257642"
"smart-sweep-5","8","0.000014313844118082551","1","6","Adam","cosine_schedule_with_warmup","0.05","0.05693764612452362","0.6483516483516484"
"golden-sweep-4","16","0.00004497915156152443","2","4","AdamW","linear_schedule_with_warmup","0.05","0.06081846446634759","0.6425339366515838"
"rosy-sweep-3","8","0.00006194907485511024","2","4","Adam","linear_schedule_with_warmup","0.1","0.08868039965720576","0.4784688995215311"
"floral-sweep-2","8","0.000049012704716727706","1","6","AdamW","constant_schedule","0.1","0.0899291801167133","0.33830845771144274"
"astral-sweep-1","16","0.00007399144827289026","2","5","Adam","polynomial_decay_schedule_with_warmup","0.05","0.06986650649258822","0.5903083700440528"
