"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"amber-sweep-20","32","0.0000279671054464687","2","6","AdamW","constant_schedule","0.1","0.062329804630289046","0.7502612330198537"
"unique-sweep-19","32","0.0000424477445554506","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.050350138585990085","0.7642626480086113"
"pleasant-sweep-18","32","0.00008649348816812695","2","4","AdamW","linear_schedule_with_warmup","0.1","0.05160334229442653","0.782800441014333"
"fluent-sweep-17","32","0.00004650876963289282","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08506655321444906","0.7783902976846747"
"divine-sweep-16","32","0.000018980227863810927","2","6","AdamW","constant_schedule","0.1","0.08418433861344904","0.7794759825327512"
"scarlet-sweep-15","32","0.00007735916563353785","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.05826176730966902","0.7742639040348964"
"hopeful-sweep-14","16","0.00009004025053400728","2","6","AdamW","linear_schedule_with_warmup","0.05","0.06884149687167118","0.10843373493975904"
"iconic-sweep-13","32","0.00009016412840537928","2","6","AdamW","linear_schedule_with_warmup","0.1","0.05738143552899935","0.7697368421052632"
"serene-sweep-12","32","0.00006436010986952141","2","6","AdamW","linear_schedule_with_warmup","0.05","0.05049449998413402","0.7702407002188184"
"kind-sweep-11","32","0.00004556953415038188","2","6","AdamW","linear_schedule_with_warmup","0.1","0.05755254773650812","0.7768052516411379"
"floral-sweep-10","32","0.00005283419282064442","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.056620753981636185","0.7759562841530054"
"feasible-sweep-9","32","0.0000762773363987832","2","6","AdamW","linear_schedule_with_warmup","0.1","0.06793079135316839","0.7697368421052632"
"snowy-sweep-8","16","0.00005714570880777479","1","4","Adam","cosine_schedule_with_warmup","0.05","0.0837593824155419","0.25732899022801303"
"devoted-sweep-7","32","0.00007933913672799753","1","6","AdamW","cosine_schedule_with_warmup","0.05","0.09903201179170544","0.7709251101321586"
"azure-sweep-6","8","0.00007928237883374078","2","4","Adam","cosine_schedule_with_warmup","0.1","0.07482257173701133","0.28484848484848485"
"zesty-sweep-5","16","0.00003233275778945943","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.06295624022190732","0.7575757575757575"
"laced-sweep-4","16","0.00007285391248746709","2","6","AdamW","constant_schedule","0.05","0.09156779463012274","0.6825870646766169"
"eternal-sweep-3","32","0.00007250767433895142","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.054978364697901","0.7754654983570647"
"misunderstood-sweep-2","16","0.00009604064636302332","2","4","AdamW","linear_schedule_with_warmup","0.05","0.05446077069859785","0.7563395810363837"
"young-sweep-1","16","0.000018462012502194572","2","6","Adam","constant_schedule","0.1","0.06474439851810762","0.3920454545454546"
