"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"dauntless-sweep-20","32","0.0000367653126233153","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.08270505650999344","0.6909090909090909"
"dauntless-sweep-19","32","0.00003009381965743765","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.09140762724203429","0.6666666666666666"
"playful-sweep-18","32","0.00003769223411302592","2","6","AdamW","constant_schedule","0.1","0.0987979432419866","0.6972477064220184"
"lyric-sweep-17","16","0.000020699924168301375","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.08711484484705001","0.6909090909090909"
"hearty-sweep-16","32","0.000024367835214954783","2","6","AdamW","constant_schedule","0.1","0.0868793394394251","0.6909090909090909"
"copper-sweep-15","32","0.00001196655586665015","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.0851902934882644","0.6545454545454545"
"stoic-sweep-14","32","0.000017236898718358348","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08155040718246472","0.6909090909090909"
"smooth-sweep-13","32","0.000026824730005140375","2","6","AdamW","constant_schedule","0.05","0.05860516604346967","0.6666666666666666"
"blooming-sweep-12","32","0.000027856956787449093","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08969430815389182","0.6728971962616822"
"clean-sweep-11","32","0.000030378728473456856","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.07895949356053826","0.6666666666666666"
"swept-sweep-10","32","0.000042570726519277086","2","6","AdamW","linear_schedule_with_warmup","0.1","0.08421828446389595","0.6728971962616822"
"dark-sweep-9","32","0.00003175918558999896","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07354876610012745","0.6909090909090909"
"effortless-sweep-8","32","0.000010315688046766228","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.09351249927946388","0.6607142857142857"
"sage-sweep-7","32","0.00005111043372870269","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.08943432108834133","0.6846846846846846"
"easy-sweep-6","16","0.000010761550718999134","2","5","AdamW","constant_schedule","0.1","0.0902401734802652","0.6666666666666666"
"playful-sweep-5","32","0.000010402896102740367","2","6","AdamW","constant_schedule","0.1","0.08510753819624048","0.6909090909090909"
"gallant-sweep-4","16","0.00001561937648519467","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.0849103042777952","0.6851851851851852"
"breezy-sweep-3","8","0.00005082359285765674","1","4","Adam","polynomial_decay_schedule_with_warmup","0.1","0.07480340888358673","0.49122807017543857"
"celestial-sweep-2","16","0.000010472475631615928","2","6","AdamW","cosine_schedule_with_warmup","0.1","0.0767456832048309","0.6788990825688075"
"flowing-sweep-1","32","0.00008306937053915155","1","4","Adam","constant_schedule","0.05","0.09011650293518704","0.5000000000000001"
