"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"glad-sweep-20","32","0.00003483422232898711","1","6","AdamW","constant_schedule","0.05","0.05039580033830213","0.7281249999999999"
"young-sweep-19","32","0.00003808168202655512","2","6","AdamW","linear_schedule_with_warmup","0.05","0.05514921047536124","0.7193798449612403"
"fluent-sweep-18","32","0.00003701324790037579","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.0985876827254356","0.7007518796992481"
"legendary-sweep-17","32","0.00001892185340793593","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.05752482941737693","0.6783114992721979"
"flowing-sweep-16","32","0.000024915079395111705","2","6","Adam","polynomial_decay_schedule_with_warmup","0.05","0.07767856399079166","0.6729857819905213"
"upbeat-sweep-15","32","0.00001634152457445344","2","6","Adam","polynomial_decay_schedule_with_warmup","0.05","0.0874854668576607","0.640901771336554"
"avid-sweep-14","32","0.000017926184894939366","2","5","AdamW","cosine_schedule_with_warmup","0.05","0.05747621835204465","0.6754002911208151"
"ethereal-sweep-13","32","0.000010693815104129149","1","6","AdamW","cosine_schedule_with_warmup","0.05","0.06117644587455423","0.676342525399129"
"lucky-sweep-12","32","0.00001325980697982628","2","6","Adam","constant_schedule","0.05","0.061910567430189585","0.6803149606299213"
"super-sweep-11","32","0.00001582786098186255","2","6","Adam","polynomial_decay_schedule_with_warmup","0.05","0.0968060273142294","0.607638888888889"
"spring-sweep-10","32","0.000013193364316677992","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09732879577810012","0.6852941176470588"
"zesty-sweep-9","32","0.000015587356825952068","1","6","Adam","constant_schedule","0.05","0.06442428246557243","0.6229508196721312"
"unique-sweep-8","32","0.000011545661635521292","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.08262514938135151","0.6733812949640289"
"pleasant-sweep-7","32","0.000023170547755059413","2","6","Adam","polynomial_decay_schedule_with_warmup","0.05","0.05740166967605291","0.6780715396578537"
"hopeful-sweep-6","32","0.000015026768640634964","2","6","Adam","constant_schedule","0.1","0.07334476509109637","0.5182012847965739"
"earthy-sweep-5","8","0.000019128028519470704","1","4","Adam","polynomial_decay_schedule_with_warmup","0.1","0.07217282489388101","0.1055718475073314"
"polished-sweep-4","32","0.000023632788319932932","2","5","Adam","cosine_schedule_with_warmup","0.05","0.05230164342591939","0.6580086580086579"
"bright-sweep-3","8","0.00009491241227007038","2","5","AdamW","linear_schedule_with_warmup","0.05","0.08356387358113716","NaN"
"tough-sweep-2","8","0.00008597017655595476","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.06829645602508855","NaN"
"wobbly-sweep-1","16","0.000035538854506243986","2","4","Adam","constant_schedule","0.1","0.07416849249371263","0.2660098522167488"
