"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"atomic-sweep-20","32","0.00006305598813421911","1","4","Adam","cosine_schedule_with_warmup","0.05","0.09351177322103216","0.2567567567567568"
"solar-sweep-19","32","0.00005260315489404084","2","4","Adam","cosine_schedule_with_warmup","0.1","0.0916030403374226","0.2911392405063291"
"stilted-sweep-18","32","0.00005393154273235477","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.08052324442080966","0.5027322404371584"
"true-sweep-17","32","0.00007938378436491443","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.0885848462533889","0.6943005181347149"
"neat-sweep-16","32","0.000097946398524109","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.08414982869024559","0.2692307692307692"
"ancient-sweep-15","32","0.00003777977796668935","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.09278190339048271","0.3229813664596274"
"generous-sweep-14","32","0.000015497564895515857","2","6","Adam","polynomial_decay_schedule_with_warmup","0.05","0.0765044241215936","0.1801801801801802"
"fanciful-sweep-13","32","0.00006077418129595337","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.07817267739415792","0.6326530612244898"
"winter-sweep-12","32","0.00005107592216031433","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.08116896546488087","0.6203208556149733"
"glorious-sweep-11","8","0.000086207982627868","1","6","AdamW","linear_schedule_with_warmup","0.1","0.0725461988626094","NaN"
"astral-sweep-10","8","0.00003563449875891043","2","4","Adam","polynomial_decay_schedule_with_warmup","0.1","0.07500180558997653","0.27848101265822783"
"swept-sweep-9","32","0.00006553140528339812","1","5","Adam","constant_schedule","0.05","0.097040843985208","0.25862068965517243"
"stellar-sweep-8","32","0.000024986954244870788","2","4","Adam","polynomial_decay_schedule_with_warmup","0.1","0.09814041060816855","0.06000000000000001"
"deft-sweep-7","32","0.00002366320123371034","2","5","Adam","polynomial_decay_schedule_with_warmup","0.1","0.09764462631983704","0.2380952380952381"
"trim-sweep-6","32","0.00002120862298685444","2","5","Adam","cosine_schedule_with_warmup","0.1","0.09060367892802614","0.20512820512820512"
"ethereal-sweep-5","16","0.00007961159920252476","1","5","AdamW","cosine_schedule_with_warmup","0.1","0.06074218227954367","NaN"
"ethereal-sweep-4","8","0.00006049601509482974","1","4","Adam","linear_schedule_with_warmup","0.1","0.09611252280860308","NaN"
"leafy-sweep-3","16","0.00008385025414917301","1","4","AdamW","linear_schedule_with_warmup","0.1","0.05053702706345724","NaN"
"elated-sweep-2","16","0.00004451235271364988","2","4","Adam","constant_schedule","0.1","0.09881907870394845","0.34196891191709844"
"morning-sweep-1","32","0.000019905650299609057","2","5","Adam","constant_schedule","0.05","0.09483584147212762","0.3687150837988827"
