"Name","batch_size","learning_rate","max_grad_norm","num_train_epochs","optimizer","scheduler","warmup_ratio","weight_decay","F-score"
"resilient-sweep-20","32","0.000014171017087375193","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09467534230320836","0.7508090614886731"
"eager-sweep-19","32","0.000021802462860989387","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09916593923973596","0.762954796030871"
"atomic-sweep-18","32","0.000020489596162676577","1","4","Adam","polynomial_decay_schedule_with_warmup","0.05","0.07766373552666397","0.5955056179775282"
"wise-sweep-17","32","0.00003737000698785835","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09905687186837542","0.7668508287292817"
"sunny-sweep-16","32","0.00002382831904692739","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.07903172451419802","0.7549234135667396"
"wandering-sweep-15","32","0.000054630079441423814","2","5","Adam","polynomial_decay_schedule_with_warmup","0.05","0.0913582058225734","0.521505376344086"
"eternal-sweep-14","32","0.000015249437052737668","2","4","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09789993360962","0.753528773072747"
"celestial-sweep-13","32","0.000012032155534638125","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09982302587085874","0.7589967284623772"
"azure-sweep-12","32","0.00002487230314351981","2","4","Adam","constant_schedule","0.1","0.09632816089931036","0.5977777777777779"
"happy-sweep-11","32","0.0000175123163695615","2","6","Adam","polynomial_decay_schedule_with_warmup","0.1","0.09770235256178347","0.6827731092436975"
"summer-sweep-10","32","0.000014209421402406989","2","4","Adam","polynomial_decay_schedule_with_warmup","0.05","0.09392502276393529","0.6993603411513859"
"quiet-sweep-9","32","0.000013636184151596142","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.1","0.09297175540372292","0.7475622968580715"
"genial-sweep-8","32","0.00005012197708114524","2","6","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09852506774922648","0.7596048298572997"
"breezy-sweep-7","32","0.000044661399921517226","2","5","Adam","cosine_schedule_with_warmup","0.1","0.08713337718391861","0.6466512702078523"
"sandy-sweep-6","8","0.00007606551412709651","2","6","AdamW","cosine_schedule_with_warmup","0.05","0.07801870735560407","0.25818315557190147"
"devout-sweep-5","32","0.00004855938313554805","2","4","Adam","cosine_schedule_with_warmup","0.1","0.09988116743768538","0.6515837104072398"
"gallant-sweep-4","16","0.00005745419481004019","2","6","AdamW","constant_schedule","0.05","0.07103082397378789","0.25818315557190147"
"comic-sweep-3","16","0.00007774242237563576","1","5","AdamW","cosine_schedule_with_warmup","0.05","0.09445959814412412","0.2824675324675325"
"efficient-sweep-2","32","0.00008724446980767007","2","5","AdamW","constant_schedule","0.1","0.09870445034922612","NaN"
"firm-sweep-1","32","0.00006652188938752115","2","5","AdamW","polynomial_decay_schedule_with_warmup","0.05","0.09371582336395286","0.7268770402611534"
